ESTADO,BANCO_VENCEDOR,VALOR_FINAL,VALOR_PARCELA,QTD_PARCELA,CARENCIA,TAXA_CLIENTE,VALOR_TOTAL_PAGAR,SPREAD_EFETIVO
PR,Santander,13566.53,452.22,30.0,90.0,1.9,13566.6,0.0
MG,Santander,15484.66,516.16,30.0,90.0,1.9,15484.8,0.0
BA,Santander,28311.07,943.7,30.0,90.0,1.9,28311.0,0.0
PR,Santander,9829.0,327.63,30.0,90.0,1.9,9828.9,0.0
BA,Santander,11848.14,658.23,18.0,90.0,1.9,11848.14,0.33999999999999986
BA,Santander,11848.14,658.23,18.0,90.0,1.9,11848.14,0.0
SP,Santander,17631.58,587.72,30.0,90.0,1.9,17631.600000000002,0.0
SP,Santander,17631.58,587.72,30.0,90.0,1.9,17631.600000000002,0.0
DF,Santander,65582.88,2186.1,30.0,90.0,1.9,65583.0,0.0
RS,Santander,15580.36,519.35,30.0,90.0,1.9,15580.5,0.0
BA,Santander,23404.28,780.14,30.0,90.0,1.9,23404.2,0.0
BA,Sol Agora,6881.07,372.79,36.0,150.0,1.9,13420.44,0.0
PR,Santander,13437.5,447.92,30.0,90.0,1.9,13437.6,0.0
MA,Santander,26574.1,885.8,30.0,90.0,1.9,26574.0,0.0
PR,Santander,13566.53,452.22,30.0,90.0,1.9,13566.6,0.0
MT,Santander,22187.31,739.58,30.0,90.0,1.9,22187.4,0.0
MT,BV,33396.18,1365.0,36.0,90.0,1.57,49140.0,0.0
PR,Santander,14026.81,467.56,30.0,90.0,1.9,14026.8,0.0
SP,Santander,10923.39,327.76,60.0,90.0,1.56,19665.6,-0.33999999999999986
BA,Santander,11640.0,388.0,30.0,90.0,1.9,11640.0,0.0
SP,Santander,20899.98,696.67,30.0,90.0,1.9,20900.1,0.0
SP,Santander,23518.55,617.28,30.0,90.0,1.9,18518.399999999998,0.0
MG,Santander,9829.0,327.63,30.0,90.0,1.9,9828.9,0.0
RS,Sol Agora,49754.07,1832.83,48.0,150.0,1.9,87975.84,0.09999999999999987
MG,Santander,7914.17,236.81,30.0,90.0,1.9,7104.3,0.0
GO,Santander,9829.0,327.63,30.0,90.0,1.9,9828.9,0.0
MS,Sol Agora,24000.0,917.21,48.0,150.0,1.9,44026.08,0.0
PA,Sol Agora,19408.17,782.05,60.0,150.0,2.5,46923.0,0.0
MT,Santander,13437.5,447.92,30.0,90.0,1.9,13437.6,0.0
MT,Santander,19479.0,717.9,48.0,90.0,1.98,34459.2,0.08000000000000007
MG,Santander,31962.0,1065.4,30.0,90.0,1.9,31962.000000000004,0.0
GO,Sol Agora,10906.24,545.67,36.0,150.0,1.9,19644.12,0.0
MT,Santander,25883.31,862.78,30.0,90.0,1.9,25883.399999999998,0.0
SP,Sol Agora,11651.97,577.69,36.0,150.0,1.9,20796.840000000004,0.0
MT,Santander,20937.09,708.79,60.0,90.0,2.15,42527.399999999994,0.25
SP,Santander,11129.0,426.6,48.0,90.0,1.98,20476.800000000003,0.0
SP,Sol Agora,9593.08,489.27,36.0,150.0,1.9,17613.72,0.0
SP,Sol Agora,14389.89,695.28,36.0,150.0,1.9,25030.079999999998,0.0
BA,Sol Agora,9100.0,340.68,60.0,150.0,1.9,20440.8,0.0
PE,Sol Agora,16125.0,769.8,36.0,150.0,1.9,27712.8,0.0
BA,Sol Agora,12342.1,480.74,60.0,150.0,2.2,28844.4,0.0
